,Distillery,DistCode,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Latitude,Longitude,%alc,review_point,price
17,BlairAthol,17.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,294860.0,757580.0,49.333333333333336,85.77777777777777,154.55555555555554
18,Bowmore,18.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,131330.0,659720.0,50.40677966101695,87.77966101694915,1908.8813559322034
19,Bruichladdich,19.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,126680.0,661400.0,51.53846153846154,86.43076923076923,185.03076923076924
20,Bunnahabhain,20.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,142210.0,673170.0,48.486486486486484,85.76315789473684,439.7631578947368
21,Caol Ila,21.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,142920.0,670040.0,50.82,85.6,130.52
22,Cardhu,22.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,318790.0,843090.0,46.0,84.83333333333333,155.16666666666666
23,Clynelish,23.0,3.0,2.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,290250.0,904230.0,48.73076923076923,86.38461538461539,164.23076923076923
24,Cragganmore,25.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,316600.0,836370.0,49.69230769230769,87.28571428571429,188.42857142857142
25,Craigellachie,24.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,328920.0,844920.0,47.75,86.625,234.875
26,Dailuaine,26.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,323520.0,841010.0,51.714285714285715,86.57142857142857,390.85714285714283
27,Dalmore,27.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,266610.0,868730.0,45.04651162790697,88.46511627906976,3571.953488372093
28,Dalwhinnie,28.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,263670.0,785270.0,46.5,85.875,179.25
29,Deanston,29.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,271570.0,701570.0,47.625,83.375,266.25
30,Dufftown,30.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,332360.0,839200.0,43.75,81.25,163.0
31,Edradour,31.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,295960.0,757940.0,49.27777777777778,84.05263157894737,93.78947368421052
32,GlenDeveronMacduff,32.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,372120.0,860400.0,44.42857142857143,86.14285714285714,143.14285714285714
33,GlenElgin,33.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,322640.0,861040.0,50.4,87.2,219.6
34,GlenGarioch,34.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,2.0,381020.0,827590.0,47.5,87.0,125.0
35,GlenGrant,35.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,327610.0,849570.0,49.148148148148145,86.25925925925925,1217.5185185185185
36,GlenKeith,36.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,340754.0,848623.0,50.0,85.0,300.0
37,GlenMoray,37.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,319820.0,862320.0,46.10526315789474,85.6842105263158,125.89473684210526
38,GlenOrd,38.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,251810.0,850860.0,44.142857142857146,83.42857142857143,87.28571428571429
39,GlenScotia,39.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,172090.0,621010.0,47.15,86.5,118.45
40,GlenSpey,40.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,327760.0,849140.0,48.0,83.0,197.5
41,Glenallachie,41.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,326490.0,841240.0,50.0,82.0,106.33333333333333
42,Glendronach,42.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0,361200.0,844930.0,47.72,87.92,270.4
43,Glendullan,43.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,333000.0,840300.0,44.5,83.875,226.375
44,Glenfarclas,44.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,320950.0,838160.0,49.25806451612903,89.03125,1411.28125
45,Glenfiddich,45.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,332680.0,840840.0,43.31578947368421,87.36842105263158,1271.7368421052631
46,Glengoyne,46.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,252810.0,682750.0,47.0,87.47058823529412,771.5882352941177
47,Glenkinchie,47.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,344380.0,666690.0,51.0,84.0,134.125
48,Glenlivet,48.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,319560.0,828780.0,46.54761904761905,88.04651162790698,863.7906976744187
49,Glenlossie,49.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,322640.0,861040.0,46.0,82.0,120.0
50,Glenmorangie,50.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,276750.0,883450.0,45.64705882352941,88.6470588235294,239.5
51,Glenrothes,51.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,327650.0,849170.0,45.234042553191486,87.08510638297872,191.38297872340425
52,Glenturret,52.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,285630.0,723580.0,46.75,85.625,156.375
53,Highland Park,53.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,345340.0,1009260.0,48.70967741935484,87.41935483870968,503.0
54,Inchgower,54.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,342610.0,863970.0,46.0,84.66666666666667,89.66666666666667
55,Isle of Jura,55.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,152660.0,667040.0,44.25,83.25,65.25
56,Knockando,56.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,319470.0,841570.0,43.0,75.5,134.0
57,Lagavulin,57.0,4.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,140430.0,645730.0,52.285714285714285,88.39285714285714,312.4642857142857
58,Laphroaig,58.0,4.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,138680.0,645160.0,49.0,87.75,170.9375
59,Linkwood,59.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,322640.0,861040.0,50.72727272727273,86.54545454545455,216.1818181818182
60,Loch Lomond,60.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,239370.0,680920.0,46.81818181818182,80.45454545454545,66.63636363636364
61,Longmorn,61.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,322640.0,861040.0,47.73684210526316,85.57894736842105,218.78947368421052
62,Macallan,62.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,327710.0,844480.0,47.166666666666664,87.66666666666667,771.6111111111111
63,Mannochmore,63.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,322640.0,861040.0,49.5,84.5,232.5
64,Miltonduff,64.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,322640.0,861040.0,51.42857142857143,85.14285714285714,117.14285714285714
65,Mortlach,65.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,332950.0,839850.0,49.18181818181818,88.04545454545455,202.22727272727272
66,Oban,66.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,185940.0,730190.0,46.75,87.375,208.75
67,OldFettercairn,67.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,370860.0,772900.0,42.25,83.25,55.25
68,OldPulteney,68.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,336730.0,950130.0,46.55,86.85,389.75
69,RoyalBrackla,69.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,286040.0,851320.0,45.666666666666664,87.0,134.83333333333334
70,RoyalLochnagar,70.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,326140.0,794370.0,42.833333333333336,84.66666666666667,125.0
71,Scapa,71.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,342850.0,1008930.0,44.0,87.0,105.875
72,Speyburn,72.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,326930.0,851430.0,42.0,86.66666666666667,115.0
73,Speyside,73.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,278740.0,800600.0,46.92307692307692,84.38461538461539,99.0
74,Springbank,74.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,172280.0,620910.0,50.13513513513514,88.02702702702703,210.8918918918919
75,Strathisla,75.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,340754.0,848623.0,45.25,89.0,282.9166666666667
76,Strathmill,76.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,342650.0,850500.0,52.0,84.0,475.0
77,Talisker,77.0,4.0,2.0,3.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,137950.0,831770.0,48.23076923076923,87.5,202.3846153846154
78,Tamdhu,78.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,319210.0,841760.0,48.4,88.2,116.2
79,Tamnavulin,79.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,321180.0,826110.0,43.0,86.5,145.0
80,Teaninich,80.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,265360.0,869120.0,52.333333333333336,85.66666666666667,310.6666666666667
81,Tobermory,81.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,150450.0,755070.0,49.625,85.625,102.25
82,Tomatin,82.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,279120.0,829630.0,47.36363636363637,85.45454545454545,320.90909090909093
83,Tomintoul,83.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,315100.0,825560.0,43.69230769230769,87.61538461538461,222.92307692307693
84,Tormore,84.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,315180.0,834960.0,49.625,84.125,117.125
85,Tullibardine,85.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,289690.0,708850.0,45.0,84.47058823529412,1571.1764705882354
